VX, VY, COL, ROW
0.0615243, -0.657906, 14, 29
-0.0632882, -0.62608, 14, 30
-0.188294, -0.568246, 14, 31
-0.308205, -0.480151, 14, 32
-0.413142, -0.359186, 14, 33
-0.488838, -0.20967, 14, 34
-0.52326, -0.0470922, 14, 35
-0.515938, 0.107402, 14, 36
-0.477702, 0.239032, 14, 37
-0.421857, 0.34365, 14, 38
-0.358186, 0.423744, 14, 39
-0.292371, 0.483737, 14, 40
-0.227386, 0.527764, 14, 41
-0.164697, 0.55918, 14, 42
-0.105047, 0.580525, 14, 43
-0.048781, 0.593768, 14, 44
0.00391949, 0.60042, 14, 45
0.0529991, 0.601728, 14, 46
0.0984617, 0.598685, 14, 47
0.140369, 0.592132, 14, 48
0.178819, 0.582773, 14, 49
-0.777397, 0.091388, 15, 0
-0.873871, 0.0898088, 15, 1
-0.906135, 0.108893, 15, 2
-0.943217, 0.135106, 15, 3
-0.986155, 0.172144, 15, 4
-1.03591, 0.226583, 15, 5
-1.09234, 0.311166, 15, 6
-1.14897, 0.453595, 15, 7
-1.1631, 0.723489, 15, 8
-0.858327, 1.28703, 15, 9
0.202011, 1.69969, 15, 10
1.10722, 1.03034, 15, 11
1.24304, 0.555911, 15, 12
1.20868, 0.316199, 15, 13
1.15549, 0.169252, 15, 14
1.10485, 0.062917, 15, 15
1.05857, -0.0245404, 15, 16
1.01486, -0.103496, 15, 17
0.971195, -0.17932, 15, 18
0.924904, -0.254727, 15, 19
0.873282, -0.330748, 15, 20
0.813762, -0.407043, 15, 21
0.744073, -0.482061, 15, 22
0.662575, -0.553136, 15, 23
0.568549, -0.616811, 15, 24
0.462444, -0.669174, 15, 25
0.345885, -0.706405, 15, 26
0.221342, -0.725269, 15, 27
0.0918337, -0.723165, 15, 28
-0.0393268, -0.698031, 15, 29
-0.168431, -0.648085, 15, 30
-0.290939, -0.571763, 15, 31
-0.400651, -0.468295, 15, 32
-0.489282, -0.339534, 15, 33
-0.547991, -0.192166, 15, 34
-0.571131, -0.0382948, 15, 35
-0.559805, 0.108108, 15, 36
-0.521301, 0.236576, 15, 37
-0.465105, 0.342593, 15, 38
-0.399388, 0.426424, 15, 39
-0.329849, 0.490629, 15, 40
-0.260044, 0.538324, 15, 41
-0.192017, 0.572491, 15, 42
-0.12693, 0.595606, 15, 43
-0.065455, 0.609698, 15, 44
-0.00791566, 0.616454, 15, 45
0.0455145, 0.617256, 15, 46
0.0948058, 0.613247, 15, 47
0.140015, 0.605399, 15, 48
